"X4.962713078408942935e.01" "X.3.427534863806014354e.01"
"1963" 1.95909963051955 3.28115678996875
"1947" 0.023965963518197 3.0478613294113
"544" -0.961470245395469 0.252441713278087
"2537" 1.18299963459752 2.50356899108829
"32" 0.386806774565641 0.98065737124352
"729" 0.731039428811511 -0.46500569291681
"2135" 0.8581059872519 3.59158615574411
"1368" 0.915930586624952 -0.45378726436946
"1528" 0.637445824009317 3.74790066007221
"1918" 1.6825454045352 2.73842061061194
"1878" 1.86266785356659 3.39677677651281
"2270" 2.07686468543917 3.39037424928823
"2754" -0.0753402441966415 3.94402479214736
"2303" 0.770946584917373 2.53031686939993
"750" 1.64908180988778 -0.430068837880498
"109" -0.0702684251329707 0.997614462044505
"648" -0.911233408633025 0.235734023384019
"1443" 1.88780348063009 -0.164008561284022
"2872" 1.01156902833677 3.04970396883055
"790" 0.771314270060815 0.605260732897447
"362" -0.356462067533558 0.927992316134631
"1882" -0.0478842861497968 3.97358253156138
"1043" 0.54146219806818 0.889929559178777
"1123" -0.962256092264158 0.0271250756697467
"2704" 0.955922030438146 3.32498162948256
"2952" 1.0461558089646 2.5440403735081
"2757" -0.921751324570799 3.36019970091874
"559" 0.850389215841517 0.43095801135973
"306" -0.571051637765229 0.790012228746487
"2588" 1.0153089188511 3.40526653686332
"2330" 0.240532245114264 4.03822653133538
"2257" 0.385201253314112 2.78217631602275
"513" 1.25816748100157 -0.510400982380491
"1986" 2.05793558069732 3.17249503174534
"2407" -0.0384137911213813 3.20815911431485
"753" -0.254143728973588 1.03461102284681
"1037" -0.725908162298954 0.701590274705023
"2804" 0.479895180750472 2.64850871577827
"2467" 1.50972795084557 2.67030053344595
"2033" -0.988392333079045 3.22584369070623
"401" -0.498993447754555 0.89435189319765
"2517" 1.78558937116027 2.87366934036503
"1845" 0.947174285907173 2.97370934575725
"88" 0.573521262438502 -0.35260525845775
"45" 0.0131694313618735 1.01493027958388
"516" 0.168438522311042 0.036398294454995
"2827" 0.28775008321465 3.90331002154261
"1031" -0.224489213878355 0.917377272887591
"2831" 1.91860410934609 3.3335669652344
"1566" 1.02580754679661 3.03087138386353
"263" 1.69660703106171 -0.309738428764228
"764" 0.562590153903541 0.851648918781067
"634" 0.0407534074654191 0.237637380118549
"2991" 0.0795523226536846 3.12494748127531
"386" -0.0190431583668057 0.0408727847232717
